step_index,forecast,ci_low,ci_high
1,209.8692022643755,180.0876852355669,239.6507192931841
2,207.89526952479474,178.11375249598615,237.67678655360334
3,205.9731247229169,176.1916076941083,235.7546417517255
4,204.26294361454455,174.48142658573596,234.04446064335315
5,202.78933380761103,173.00781677880244,232.57085083641962
6,201.53747833005966,171.75596130125106,231.31899535886825
7,200.48197155375783,170.70045452494924,230.26348858256642
8,199.59606193590875,169.81454490710016,229.37757896471734
9,198.85471308160626,169.07319605279767,228.63623011041486
10,198.2357590865116,168.454242057703,228.0172761153202
11,197.71988071535466,167.93836368654607,227.50139774416326
12,197.29048629444182,167.50896926563323,227.0720033232504
13,196.9334973181693,167.1519802893607,226.71501434697788
14,196.6369434835492,166.8554264547406,226.4184605123578
15,196.3907840289708,166.60926700016222,226.1723010577794
16,196.18656232247247,166.40504529366387,225.96807935128106
17,196.01721528975384,166.23569826094524,225.79873231856243
18,195.8767994669433,166.09528243813472,225.6583164957519
19,195.76044335760108,165.97892632879248,225.54196038640967
20,195.6640139317402,165.8824969029316,225.44553096054878
21,195.58408089357908,165.8025638647705,225.36559792238768
22,195.5178690385444,165.7363520097358,225.299386067353
23,195.4630081275371,165.68149109872851,225.2445251563457
24,195.4175805299292,165.63606350112062,225.1990975587378
25,195.37994256232543,165.59842553351683,225.16145959113402
26,195.34877213155985,165.56725510275126,225.13028916036845
27,195.3229615379531,165.5414445091445,225.10447856676168
28,195.30155792156572,165.52004089275712,225.0830749503743
29,195.28383472669407,165.50231769788547,225.06535175550266
30,195.26918450512676,165.48766747631817,225.05070153393535
31,195.25704745164947,165.47553042284088,225.03856448045806
32,195.24699477928945,165.46547775048086,225.02851180809805
33,195.23870489781723,165.45718786900864,225.02022192662582
34,195.23183239550477,165.45031536669617,225.01334942431336
35,195.22615096811646,165.44463393930786,225.00766799692505
36,195.22145813291525,165.43994110410665,225.00297516172384
37,195.21757522866244,165.43605819985385,224.99909225747103
38,195.21435932636717,165.43284229755858,224.99587635517577
39,195.21170322928626,165.43018620047766,224.99322025809485
40,195.20953547292427,165.42801844411568,224.99105250173287
41,195.20772503903953,165.42620801023094,224.98924206784812
42,195.206319570629,165.4248025418204,224.9878365994376
43,195.20515231720333,165.42363528839473,224.98666934601192
44,195.20417563576552,165.42265860695693,224.98569266457412
45,195.20337761556632,165.42186058675773,224.98489464437492
46,195.20272252435802,165.42120549554943,224.98423955316662
47,195.2021746298929,165.42065760108432,224.9836916587015
48,195.20173393217095,165.42021690336236,224.98325096097955
49,195.20136469894447,165.41984767013588,224.98288172775307
50,195.20106693021341,165.41954990140482,224.982583959022
51,195.2008048937301,165.4192878649215,224.9823219225387
52,195.20060241099299,165.4190853821844,224.98211943980158
53,195.20042374975438,165.41890672094578,224.98194077856297
54,195.20029273151272,165.41877570270412,224.9818097603213
55,195.2001736240203,165.4186565952117,224.9816906528289
56,195.2000664272771,165.4185493984685,224.9815834560857
57,195.19999496278166,165.41847793397307,224.98151199159025
58,195.1999234982862,165.41840646947762,224.9814405270948
59,195.19987585528926,165.41835882648067,224.98139288409786
60,195.1998282122923,165.4183111834837,224.98134524110088
61,195.19979248004455,165.41827545123596,224.98130950885314
62,195.19975674779684,165.41823971898825,224.98127377660543
63,195.19973292629837,165.41821589748977,224.98124995510696
64,195.1997210155491,165.4182039867405,224.9812380443577
65,195.19969719405063,165.41818016524203,224.98121422285922
66,195.1996852833014,165.4181682544928,224.98120231210999
67,195.19967337255216,165.41815634374356,224.98119040136075
68,195.19967337255216,165.41815634374356,224.98119040136075
69,195.1996614618029,165.4181444329943,224.98117849061148
70,195.1996614618029,165.4181444329943,224.98117849061148
71,195.1996614618029,165.4181444329943,224.98117849061148
72,195.19963764030442,165.41812061149582,224.981154669113
73,195.19963764030442,165.41812061149582,224.981154669113
74,195.19963764030442,165.41812061149582,224.981154669113
75,195.19963764030442,165.41812061149582,224.981154669113
76,195.19963764030442,165.41812061149582,224.981154669113
77,195.19963764030442,165.41812061149582,224.981154669113
78,195.19962572955518,165.4181087007466,224.98114275836377
79,195.19962572955518,165.4181087007466,224.98114275836377
80,195.19962572955518,165.4181087007466,224.98114275836377
81,195.19962572955518,165.4181087007466,224.98114275836377
82,195.19962572955518,165.4181087007466,224.98114275836377
83,195.19962572955518,165.4181087007466,224.98114275836377
84,195.19962572955518,165.4181087007466,224.98114275836377
85,195.19962572955518,165.4181087007466,224.98114275836377
86,195.19962572955518,165.4181087007466,224.98114275836377
87,195.19962572955518,165.4181087007466,224.98114275836377
88,195.19962572955518,165.4181087007466,224.98114275836377
89,195.19962572955518,165.4181087007466,224.98114275836377
90,195.19962572955518,165.4181087007466,224.98114275836377
